# record,      epoch,      desig, name
90000001,       -239,         1P, Halley
90000002,       -163,         1P, Halley
90000003,        -86,         1P, Halley
90000004,        -11,         1P, Halley
90000005,         66,         1P, Halley
90000006,        141,         1P, Halley
90000007,        218,         1P, Halley
90000008,        295,         1P, Halley
90000009,        374,         1P, Halley
90000010,        451,         1P, Halley
90000011,        530,         1P, Halley
90000012,        607,         1P, Halley
90000013,        684,         1P, Halley
90000014,        760,         1P, Halley
90000015,        837,         1P, Halley
90000016,        912,         1P, Halley
90000017,        989,         1P, Halley
90000018,       1066,         1P, Halley
90000019,       1145,         1P, Halley
90000020,       1222,         1P, Halley
90000021,       1301,         1P, Halley
90000022,       1378,         1P, Halley
90000023,       1456,         1P, Halley
90000024,       1531,         1P, Halley
90000025,       1607,         1P, Halley
90000026,       1682,         1P, Halley
90000027,       1759,         1P, Halley
90000028,       1835,         1P, Halley
90000029,       1910,         1P, Halley
90000030,       1968,         1P, Halley
90000031,       1786,         2P, Encke
90000032,       1796,         2P, Encke
90000033,       1805,         2P, Encke
90000034,       1819,         2P, Encke
90000035,       1822,         2P, Encke
90000036,       1825,         2P, Encke
90000037,       1828,         2P, Encke
90000038,       1832,         2P, Encke
90000039,       1835,         2P, Encke
90000040,       1838,         2P, Encke
90000041,       1842,         2P, Encke
90000042,       1845,         2P, Encke
90000043,       1848,         2P, Encke
90000044,       1852,         2P, Encke
90000045,       1855,         2P, Encke
90000046,       1858,         2P, Encke
90000047,       1862,         2P, Encke
90000048,       1865,         2P, Encke
90000049,       1868,         2P, Encke
90000050,       1872,         2P, Encke
90000051,       1875,         2P, Encke
90000052,       1878,         2P, Encke
90000053,       1881,         2P, Encke
90000054,       1885,         2P, Encke
90000055,       1888,         2P, Encke
90000056,       1891,         2P, Encke
90000057,       1895,         2P, Encke
90000058,       1898,         2P, Encke
90000059,       1901,         2P, Encke
90000060,       1904,         2P, Encke
90000061,       1908,         2P, Encke
90000062,       1911,         2P, Encke
90000063,       1914,         2P, Encke
90000064,       1918,         2P, Encke
90000065,       1921,         2P, Encke
90000066,       1924,         2P, Encke
90000067,       1928,         2P, Encke
90000068,       1931,         2P, Encke
90000069,       1934,         2P, Encke
90000070,       1937,         2P, Encke
90000071,       1941,         2P, Encke
90000072,       1947,         2P, Encke
90000073,       1951,         2P, Encke
90000074,       1954,         2P, Encke
90000075,       1957,         2P, Encke
90000076,       1961,         2P, Encke
90000077,       1964,         2P, Encke
90000078,       1967,         2P, Encke
90000079,       1971,         2P, Encke
90000080,       1974,         2P, Encke
90000081,       1977,         2P, Encke
90000082,       1980,         2P, Encke
90000083,       1984,         2P, Encke
90000084,       1987,         2P, Encke
90000085,       1990,         2P, Encke
90000086,       1994,         2P, Encke
90000087,       1995,         2P, Encke
90000088,       1998,         2P, Encke
90000089,       2004,         2P, Encke
90000090,       2017,         2P, Encke
90000091,       1772,         3D, Biela
90000092,       1805,         3D, Biela
90000093,       1826,         3D, Biela
90000094,       1832,         3D, Biela
90000095,       1843,         4P, Faye
90000096,       1851,         4P, Faye
90000097,       1858,         4P, Faye
90000098,       1866,         4P, Faye
90000099,       1873,         4P, Faye
90000100,       1881,         4P, Faye
90000101,       1888,         4P, Faye
90000102,       1896,         4P, Faye
90000103,       1910,         4P, Faye
90000104,       1925,         4P, Faye
90000105,       1932,         4P, Faye
90000106,       1940,         4P, Faye
90000107,       1947,         4P, Faye
90000108,       1952,         4P, Faye
90000109,       1955,         4P, Faye
90000110,       1962,         4P, Faye
90000111,       1969,         4P, Faye
90000112,       1977,         4P, Faye
90000113,       1984,         4P, Faye
90000114,       1986,         4P, Faye
90000115,       1991,         4P, Faye
90000116,       2007,         4P, Faye
90000117,       2019,         4P, Faye
90000118,       1846,         5D, Brorsen
90000119,       1857,         5D, Brorsen
90000120,       1868,         5D, Brorsen
90000121,       1873,         5D, Brorsen
90000122,       1879,         5D, Brorsen
90000123,       1879,         5D, Brorsen
90000124,       1678,         6P, d'Arrest
90000125,       1851,         6P, d'Arrest
90000126,       1857,         6P, d'Arrest
90000127,       1870,         6P, d'Arrest
90000128,       1877,         6P, d'Arrest
90000129,       1890,         6P, d'Arrest
90000130,       1897,         6P, d'Arrest
90000131,       1910,         6P, d'Arrest
90000132,       1923,         6P, d'Arrest
90000133,       1943,         6P, d'Arrest
90000134,       1950,         6P, d'Arrest
90000135,       1963,         6P, d'Arrest
90000136,       1970,         6P, d'Arrest
90000137,       1976,         6P, d'Arrest
90000138,       1982,         6P, d'Arrest
90000139,       1989,         6P, d'Arrest
90000140,       1995,         6P, d'Arrest
90000141,       2002,         6P, d'Arrest
90000142,       2009,         6P, d'Arrest
90000143,       2015,         6P, d'Arrest
90000144,       2021,         6P, d'Arrest
90000145,       1819,         7P, Pons-Winnecke
90000146,       1858,         7P, Pons-Winnecke
90000147,       1869,         7P, Pons-Winnecke
90000148,       1875,         7P, Pons-Winnecke
90000149,       1886,         7P, Pons-Winnecke
90000150,       1892,         7P, Pons-Winnecke
90000151,       1898,         7P, Pons-Winnecke
90000152,       1909,         7P, Pons-Winnecke
90000153,       1915,         7P, Pons-Winnecke
90000154,       1921,         7P, Pons-Winnecke
90000155,       1927,         7P, Pons-Winnecke
90000156,       1933,         7P, Pons-Winnecke
90000157,       1939,         7P, Pons-Winnecke
90000158,       1945,         7P, Pons-Winnecke
90000159,       1951,         7P, Pons-Winnecke
90000160,       1964,         7P, Pons-Winnecke
90000161,       1970,         7P, Pons-Winnecke
90000162,       1976,         7P, Pons-Winnecke
90000163,       1983,         7P, Pons-Winnecke
90000164,       1989,         7P, Pons-Winnecke
90000165,       1995,         7P, Pons-Winnecke
90000166,       2002,         7P, Pons-Winnecke
90000167,       2015,         7P, Pons-Winnecke
90000168,       1790,         8P, Tuttle
90000169,       1858,         8P, Tuttle
90000170,       1871,         8P, Tuttle
90000171,       1885,         8P, Tuttle
90000172,       1899,         8P, Tuttle
90000173,       1912,         8P, Tuttle
90000174,       1926,         8P, Tuttle
90000175,       1939,         8P, Tuttle
90000176,       1967,         8P, Tuttle
90000177,       1980,         8P, Tuttle
90000178,       1994,         8P, Tuttle
90000179,       2008,         8P, Tuttle
90000180,       1867,         9P, Tempel 1
90000181,       1873,         9P, Tempel 1
90000182,       1879,         9P, Tempel 1
90000183,       1967,         9P, Tempel 1
90000184,       1972,         9P, Tempel 1
90000185,       1978,         9P, Tempel 1
90000186,       1983,         9P, Tempel 1
90000187,       1988,         9P, Tempel 1
90000188,       1994,         9P, Tempel 1
90000189,       2004,         9P, Tempel 1
90000190,       2013,         9P, Tempel 1
90000191,       2016,         9P, Tempel 1
90000192,       1873,        10P, Tempel 2
90000193,       1878,        10P, Tempel 2
90000194,       1894,        10P, Tempel 2
90000195,       1899,        10P, Tempel 2
90000196,       1904,        10P, Tempel 2
90000197,       1915,        10P, Tempel 2
90000198,       1920,        10P, Tempel 2
90000199,       1925,        10P, Tempel 2
90000200,       1930,        10P, Tempel 2
90000201,       1946,        10P, Tempel 2
90000202,       1951,        10P, Tempel 2
90000203,       1957,        10P, Tempel 2
90000204,       1962,        10P, Tempel 2
90000205,       1967,        10P, Tempel 2
90000206,       1972,        10P, Tempel 2
90000207,       1978,        10P, Tempel 2
90000208,       1983,        10P, Tempel 2
90000209,       1988,        10P, Tempel 2
90000210,       1994,        10P, Tempel 2
90000211,       1999,        10P, Tempel 2
90000212,       2008,        10P, Tempel 2
90000213,       2013,        10P, Tempel 2
90000214,       1869,        11P, Tempel-Swift-LINEAR
90000215,       1880,        11P, Tempel-Swift-LINEAR
90000216,       1891,        11P, Tempel-Swift-LINEAR
90000217,       1908,        11P, Tempel-Swift-LINEAR
90000218,       2002,        11P, Tempel-Swift-LINEAR
90000219,       2019,        11P, Tempel-Swift-LINEAR
90000220,       1812,        12P, Pons-Brooks
90000221,       1884,        12P, Pons-Brooks
90000222,       1897,        12P, Pons-Brooks
90000223,       2023,        12P, Pons-Brooks
90000224,       1815,        13P, Olbers
90000225,       1887,        13P, Olbers
90000226,       2017,        13P, Olbers
90000227,       1884,        14P, Wolf
90000228,       1891,        14P, Wolf
90000229,       1898,        14P, Wolf
90000230,       1912,        14P, Wolf
90000231,       1919,        14P, Wolf
90000232,       1925,        14P, Wolf
90000233,       1934,        14P, Wolf
90000234,       1942,        14P, Wolf
90000235,       1950,        14P, Wolf
90000236,       1959,        14P, Wolf
90000237,       1967,        14P, Wolf
90000238,       1970,        14P, Wolf
90000239,       1976,        14P, Wolf
90000240,       1984,        14P, Wolf
90000241,       1992,        14P, Wolf
90000242,       2000,        14P, Wolf
90000243,       2011,        14P, Wolf
90000244,       1886,        15P, Finlay
90000245,       1893,        15P, Finlay
90000246,       1906,        15P, Finlay
90000247,       1919,        15P, Finlay
90000248,       1926,        15P, Finlay
90000249,       1953,        15P, Finlay
90000250,       1960,        15P, Finlay
90000251,       1967,        15P, Finlay
90000252,       1974,        15P, Finlay
90000253,       1981,        15P, Finlay
90000254,       1988,        15P, Finlay
90000255,       1996,        15P, Finlay
90000256,       2007,        15P, Finlay
90000257,       2015,        15P, Finlay
90000258,       1889,        16P, Brooks 2
90000259,       1896,        16P, Brooks 2
90000260,       1903,        16P, Brooks 2
90000261,       1911,        16P, Brooks 2
90000262,       1925,        16P, Brooks 2
90000263,       1932,        16P, Brooks 2
90000264,       1939,        16P, Brooks 2
90000265,       1946,        16P, Brooks 2
90000266,       1953,        16P, Brooks 2
90000267,       1960,        16P, Brooks 2
90000268,       1973,        16P, Brooks 2
90000269,       1980,        16P, Brooks 2
90000270,       1987,        16P, Brooks 2
90000271,       1994,        16P, Brooks 2
90000272,       2015,        16P, Brooks 2
90000273,       2016,        16P, Brooks 2
90000274,       1892,        17P, Holmes
90000275,       1899,        17P, Holmes
90000276,       1906,        17P, Holmes
90000277,       1964,        17P, Holmes
90000278,       1972,        17P, Holmes
90000279,       1979,        17P, Holmes
90000280,       1986,        17P, Holmes
90000281,       1993,        17P, Holmes
90000282,       2000,        17P, Holmes
90000283,       2007,        17P, Holmes
90000284,       2010,        17P, Holmes
90000285,       2016,        17P, Holmes
90000286,       1896,        18D, Perrine-Mrkos
90000287,       1909,        18D, Perrine-Mrkos
90000288,       1955,        18D, Perrine-Mrkos
90000289,       1962,        18D, Perrine-Mrkos
90000290,       1969,        18D, Perrine-Mrkos
90000291,       1905,        19P, Borrelly
90000292,       1911,        19P, Borrelly
90000293,       1918,        19P, Borrelly
90000294,       1925,        19P, Borrelly
90000295,       1932,        19P, Borrelly
90000296,       1953,        19P, Borrelly
90000297,       1960,        19P, Borrelly
90000298,       1967,        19P, Borrelly
90000299,       1974,        19P, Borrelly
90000300,       1981,        19P, Borrelly
90000301,       1987,        19P, Borrelly
90000302,       1994,        19P, Borrelly
90000303,       2004,        19P, Borrelly
90000304,       2021,        19P, Borrelly
90000305,       1852,        20D, Westphal
90000306,       1913,        20D, Westphal
90000307,       1900,        21P, Giacobini-Zinner
90000308,       1913,        21P, Giacobini-Zinner
90000309,       1926,        21P, Giacobini-Zinner
90000310,       1933,        21P, Giacobini-Zinner
90000311,       1940,        21P, Giacobini-Zinner
90000312,       1946,        21P, Giacobini-Zinner
90000313,       1959,        21P, Giacobini-Zinner
90000314,       1966,        21P, Giacobini-Zinner
90000315,       1972,        21P, Giacobini-Zinner
90000316,       1979,        21P, Giacobini-Zinner
90000317,       1985,        21P, Giacobini-Zinner
90000318,       1992,        21P, Giacobini-Zinner
90000319,       1998,        21P, Giacobini-Zinner
90000320,       2006,        21P, Giacobini-Zinner
90000321,       2013,        21P, Giacobini-Zinner
90000322,       2017,        21P, Giacobini-Zinner
90000323,       1906,        22P, Kopff
90000324,       1919,        22P, Kopff
90000325,       1926,        22P, Kopff
90000326,       1932,        22P, Kopff
90000327,       1939,        22P, Kopff
90000328,       1945,        22P, Kopff
90000329,       1951,        22P, Kopff
90000330,       1958,        22P, Kopff
90000331,       1964,        22P, Kopff
90000332,       1970,        22P, Kopff
90000333,       1977,        22P, Kopff
90000334,       1983,        22P, Kopff
90000335,       1990,        22P, Kopff
90000336,       1996,        22P, Kopff
90000337,       2003,        22P, Kopff
90000338,       2010,        22P, Kopff
90000339,       2019,        22P, Kopff
90000340,       1847,        23P, Brorsen-Metcalf
90000341,       1919,        23P, Brorsen-Metcalf
90000342,       1989,        23P, Brorsen-Metcalf
90000343,       1911,        24P, Schaumasse
90000344,       1919,        24P, Schaumasse
90000345,       1927,        24P, Schaumasse
90000346,       1943,        24P, Schaumasse
90000347,       1952,        24P, Schaumasse
90000348,       1960,        24P, Schaumasse
90000349,       1976,        24P, Schaumasse
90000350,       1984,        24P, Schaumasse
90000351,       1993,        24P, Schaumasse
90000352,       2001,        24P, Schaumasse
90000353,       2015,        24P, Schaumasse
90000354,       1916,        25D, Neujmin 2
90000355,       1927,        25D, Neujmin 2
90000356,       1808,        26P, Grigg-Skjellerup
90000357,       1902,        26P, Grigg-Skjellerup
90000358,       1922,        26P, Grigg-Skjellerup
90000359,       1927,        26P, Grigg-Skjellerup
90000360,       1932,        26P, Grigg-Skjellerup
90000361,       1937,        26P, Grigg-Skjellerup
90000362,       1942,        26P, Grigg-Skjellerup
90000363,       1947,        26P, Grigg-Skjellerup
90000364,       1952,        26P, Grigg-Skjellerup
90000365,       1957,        26P, Grigg-Skjellerup
90000366,       1962,        26P, Grigg-Skjellerup
90000367,       1967,        26P, Grigg-Skjellerup
90000368,       1972,        26P, Grigg-Skjellerup
90000369,       1977,        26P, Grigg-Skjellerup
90000370,       1982,        26P, Grigg-Skjellerup
90000371,       1987,        26P, Grigg-Skjellerup
90000372,       1992,        26P, Grigg-Skjellerup
90000373,       1997,        26P, Grigg-Skjellerup
90000374,       2008,        26P, Grigg-Skjellerup
90000375,       2011,        26P, Grigg-Skjellerup
90000376,       1818,        27P, Crommelin
90000377,       1873,        27P, Crommelin
90000378,       1928,        27P, Crommelin
90000379,       1956,        27P, Crommelin
90000380,       2002,        27P, Crommelin
90000381,       1913,        28P, Neujmin 1
90000382,       1931,        28P, Neujmin 1
90000383,       1949,        28P, Neujmin 1
90000384,       1966,        28P, Neujmin 1
90000385,       1984,        28P, Neujmin 1
90000386,       2023,        28P, Neujmin 1
90000387,       1908,        29P, Schwassmann-Wachmann 1
90000388,       1925,        29P, Schwassmann-Wachmann 1
90000389,       1941,        29P, Schwassmann-Wachmann 1
90000390,       1957,        29P, Schwassmann-Wachmann 1
90000391,       1974,        29P, Schwassmann-Wachmann 1
90000392,       2007,        29P, Schwassmann-Wachmann 1
90000393,       2023,        29P, Schwassmann-Wachmann 1
90000394,       1928,        30P, Reinmuth 1
90000395,       1935,        30P, Reinmuth 1
90000396,       1950,        30P, Reinmuth 1
90000397,       1958,        30P, Reinmuth 1
90000398,       1965,        30P, Reinmuth 1
90000399,       1973,        30P, Reinmuth 1
90000400,       1980,        30P, Reinmuth 1
90000401,       1988,        30P, Reinmuth 1
90000402,       1995,        30P, Reinmuth 1
90000403,       2006,        30P, Reinmuth 1
90000404,       2012,        30P, Reinmuth 1
90000405,       2015,        30P, Reinmuth 1
90000406,       1929,        31P, Schwassmann-Wachmann 2
90000407,       1935,        31P, Schwassmann-Wachmann 2
90000408,       1942,        31P, Schwassmann-Wachmann 2
90000409,       1948,        31P, Schwassmann-Wachmann 2
90000410,       1955,        31P, Schwassmann-Wachmann 2
90000411,       1961,        31P, Schwassmann-Wachmann 2
90000412,       1968,        31P, Schwassmann-Wachmann 2
90000413,       1974,        31P, Schwassmann-Wachmann 2
90000414,       1981,        31P, Schwassmann-Wachmann 2
90000415,       1987,        31P, Schwassmann-Wachmann 2
90000416,       1994,        31P, Schwassmann-Wachmann 2
90000417,       2010,        31P, Schwassmann-Wachmann 2
90000418,       2013,        31P, Schwassmann-Wachmann 2
90000419,       1927,        32P, Comas Sola
90000420,       1935,        32P, Comas Sola
90000421,       1944,        32P, Comas Sola
90000422,       1952,        32P, Comas Sola
90000423,       1961,        32P, Comas Sola
90000424,       1969,        32P, Comas Sola
90000425,       1978,        32P, Comas Sola
90000426,       1987,        32P, Comas Sola
90000427,       2006,        32P, Comas Sola
90000428,       2009,        32P, Comas Sola
90000429,       2019,        32P, Comas Sola
90000430,       1909,        33P, Daniel
90000431,       1937,        33P, Daniel
90000432,       1943,        33P, Daniel
90000433,       1950,        33P, Daniel
90000434,       1964,        33P, Daniel
90000435,       1978,        33P, Daniel
90000436,       1985,        33P, Daniel
90000437,       1992,        33P, Daniel
90000438,       2009,        33P, Daniel
90000439,       2010,        33P, Daniel
90000440,       1927,        34D, Gale
90000441,       1938,        34D, Gale
90000442,       1788,        35P, Herschel-Rigollet
90000443,       1939,        35P, Herschel-Rigollet
90000444,       1926,        36P, Whipple
90000445,       1933,        36P, Whipple
90000446,       1941,        36P, Whipple
90000447,       1948,        36P, Whipple
90000448,       1955,        36P, Whipple
90000449,       1963,        36P, Whipple
90000450,       1970,        36P, Whipple
90000451,       1978,        36P, Whipple
90000452,       1986,        36P, Whipple
90000453,       1995,        36P, Whipple
90000454,       2008,        36P, Whipple
90000455,       1929,        37P, Forbes
90000456,       1942,        37P, Forbes
90000457,       1948,        37P, Forbes
90000458,       1961,        37P, Forbes
90000459,       1974,        37P, Forbes
90000460,       1980,        37P, Forbes
90000461,       2005,        37P, Forbes
90000462,       2013,        37P, Forbes
90000463,       2017,        37P, Forbes
90000464,       2017,        37P, Forbes
90000465,       1867,        38P, Stephan-Oterma
90000466,       1942,        38P, Stephan-Oterma
90000467,       2018,        38P, Stephan-Oterma
90000468,       1942,        39P, Oterma
90000469,       1950,        39P, Oterma
90000470,       1958,        39P, Oterma
90000471,       2014,        39P, Oterma
90000472,       1939,        40P, Vaisala 1
90000473,       1949,        40P, Vaisala 1
90000474,       1960,        40P, Vaisala 1
90000475,       1971,        40P, Vaisala 1
90000476,       1982,        40P, Vaisala 1
90000477,       1993,        40P, Vaisala 1
90000478,       2004,        40P, Vaisala 1
90000479,       2015,        40P, Vaisala 1
90000480,       1858,        41P, Tuttle-Giacobini-Kresak
90000481,       1907,        41P, Tuttle-Giacobini-Kresak
90000482,       1951,        41P, Tuttle-Giacobini-Kresak
90000483,       1962,        41P, Tuttle-Giacobini-Kresak
90000484,       1973,        41P, Tuttle-Giacobini-Kresak
90000485,       1979,        41P, Tuttle-Giacobini-Kresak
90000486,       1990,        41P, Tuttle-Giacobini-Kresak
90000487,       1995,        41P, Tuttle-Giacobini-Kresak
90000488,       2001,        41P, Tuttle-Giacobini-Kresak
90000489,       2006,        41P, Tuttle-Giacobini-Kresak
90000490,       2008,        41P, Tuttle-Giacobini-Kresak
90000491,       2017,        41P, Tuttle-Giacobini-Kresak
90000492,       1929,        42P, Neujmin 3
90000493,       1951,        42P, Neujmin 3
90000494,       1972,        42P, Neujmin 3
90000495,       2004,        42P, Neujmin 3
90000496,       2015,        42P, Neujmin 3
90000497,       1925,        43P, Wolf-Harrington
90000498,       1952,        43P, Wolf-Harrington
90000499,       1958,        43P, Wolf-Harrington
90000500,       1965,        43P, Wolf-Harrington
90000501,       1971,        43P, Wolf-Harrington
90000502,       1978,        43P, Wolf-Harrington
90000503,       1984,        43P, Wolf-Harrington
90000504,       1991,        43P, Wolf-Harrington
90000505,       1998,        43P, Wolf-Harrington
90000506,       2003,        43P, Wolf-Harrington
90000507,       2005,        43P, Wolf-Harrington
90000508,       2014,        43P, Wolf-Harrington
90000509,       1947,        44P, Reinmuth 2
90000510,       1954,        44P, Reinmuth 2
90000511,       1960,        44P, Reinmuth 2
90000512,       1967,        44P, Reinmuth 2
90000513,       1967,        44P, Reinmuth 2
90000514,       1974,        44P, Reinmuth 2
90000515,       1981,        44P, Reinmuth 2
90000516,       1987,        44P, Reinmuth 2
90000517,       1993,        44P, Reinmuth 2
90000518,       1994,        44P, Reinmuth 2
90000519,       1997,        44P, Reinmuth 2
90000520,       2001,        44P, Reinmuth 2
90000521,       2010,        44P, Reinmuth 2
90000522,       2020,        44P, Reinmuth 2
90000523,       1948,        45P, Honda-Mrkos-Pajdusakova
90000524,       1954,        45P, Honda-Mrkos-Pajdusakova
90000525,       1964,        45P, Honda-Mrkos-Pajdusakova
90000526,       1969,        45P, Honda-Mrkos-Pajdusakova
90000527,       1974,        45P, Honda-Mrkos-Pajdusakova
90000528,       1980,        45P, Honda-Mrkos-Pajdusakova
90000529,       1985,        45P, Honda-Mrkos-Pajdusakova
90000530,       1990,        45P, Honda-Mrkos-Pajdusakova
90000531,       1997,        45P, Honda-Mrkos-Pajdusakova
90000532,       2006,        45P, Honda-Mrkos-Pajdusakova
90000533,       2012,        45P, Honda-Mrkos-Pajdusakova
90000534,       2013,        45P, Honda-Mrkos-Pajdusakova
90000535,       2017,        45P, Honda-Mrkos-Pajdusakova
90000536,       1947,        46P, Wirtanen
90000537,       1954,        46P, Wirtanen
90000538,       1961,        46P, Wirtanen
90000539,       1967,        46P, Wirtanen
90000540,       1974,        46P, Wirtanen
90000541,       1986,        46P, Wirtanen
90000542,       1991,        46P, Wirtanen
90000543,       1997,        46P, Wirtanen
90000544,       1999,        46P, Wirtanen
90000545,       2006,        46P, Wirtanen
90000546,       2007,        46P, Wirtanen
90000547,       2018,        46P, Wirtanen
90000548,       1948,        47P, Ashbrook-Jackson
90000549,       1956,        47P, Ashbrook-Jackson
90000550,       1963,        47P, Ashbrook-Jackson
90000551,       1964,        47P, Ashbrook-Jackson
90000552,       1971,        47P, Ashbrook-Jackson
90000553,       1978,        47P, Ashbrook-Jackson
90000554,       1981,        47P, Ashbrook-Jackson
90000555,       1986,        47P, Ashbrook-Jackson
90000556,       1993,        47P, Ashbrook-Jackson
90000557,       2001,        47P, Ashbrook-Jackson
90000558,       2011,        47P, Ashbrook-Jackson
90000559,       1949,        48P, Johnson
90000560,       1956,        48P, Johnson
90000561,       1963,        48P, Johnson
90000562,       1970,        48P, Johnson
90000563,       1977,        48P, Johnson
90000564,       1983,        48P, Johnson
90000565,       1990,        48P, Johnson
90000566,       1997,        48P, Johnson
90000567,       2010,        48P, Johnson
90000568,       1950,        49P, Arend-Rigaux
90000569,       1957,        49P, Arend-Rigaux
90000570,       1964,        49P, Arend-Rigaux
90000571,       1971,        49P, Arend-Rigaux
90000572,       1978,        49P, Arend-Rigaux
90000573,       1984,        49P, Arend-Rigaux
90000574,       1991,        49P, Arend-Rigaux
90000575,       1998,        49P, Arend-Rigaux
90000576,       2000,        49P, Arend-Rigaux
90000577,       2011,        49P, Arend-Rigaux
90000578,       1951,        50P, Arend
90000579,       1959,        50P, Arend
90000580,       1967,        50P, Arend
90000581,       1975,        50P, Arend
90000582,       1983,        50P, Arend
90000583,       1991,        50P, Arend
90000584,       1996,        50P, Arend
90000585,       1999,        50P, Arend
90000586,       2010,        50P, Arend
90000587,       1953,        51P, Harrington
90000588,       1960,        51P, Harrington
90000589,       1980,        51P, Harrington
90000590,       1987,        51P, Harrington
90000591,       2009,        51P, Harrington
90000592,       2015,        51P, Harrington
90000593,       2017,        51P, Harrington
90000597,       1954,        52P, Harrington-Abell
90000598,       1962,        52P, Harrington-Abell
90000599,       1963,        52P, Harrington-Abell
90000600,       1969,        52P, Harrington-Abell
90000601,       1976,        52P, Harrington-Abell
90000602,       1983,        52P, Harrington-Abell
90000603,       1991,        52P, Harrington-Abell
90000604,       1999,        52P, Harrington-Abell
90000605,       2010,        52P, Harrington-Abell
90000606,       2016,        52P, Harrington-Abell
90000607,       1954,        53P, Van Biesbroeck
90000608,       1966,        53P, Van Biesbroeck
90000609,       1978,        53P, Van Biesbroeck
90000610,       1991,        53P, Van Biesbroeck
90000611,       2001,        53P, Van Biesbroeck
90000612,       2011,        53P, Van Biesbroeck
90000613,       1844,        54P, de Vico-Swift-NEAT
90000614,       1894,        54P, de Vico-Swift-NEAT
90000615,       1959,        54P, de Vico-Swift-NEAT
90000616,       1965,        54P, de Vico-Swift-NEAT
90000617,       1998,        54P, de Vico-Swift-NEAT
90000618,       2010,        54P, de Vico-Swift-NEAT
90000619,       1366,        55P, Tempel-Tuttle
90000620,       1699,        55P, Tempel-Tuttle
90000621,       1865,        55P, Tempel-Tuttle
90000622,       1965,        55P, Tempel-Tuttle
90000623,       1998,        55P, Tempel-Tuttle
90000624,       1958,        56P, Slaughter-Burnham
90000625,       1970,        56P, Slaughter-Burnham
90000626,       2006,        56P, Slaughter-Burnham
90000627,       2013,        56P, Slaughter-Burnham
90000628,       1941,        57P, duToit-Neujmin-Delporte
90000629,       1970,        57P, duToit-Neujmin-Delporte
90000630,       1983,        57P, duToit-Neujmin-Delporte
90000631,       1989,        57P, duToit-Neujmin-Delporte
90000632,       1996,        57P, duToit-Neujmin-Delporte
90000633,       2002,        57P, duToit-Neujmin-Delporte
90000634,       2004,        57P, duToit-Neujmin-Delporte
90000635,       2018,        57P, duToit-Neujmin-Delporte
90000637,       1936,        58P, Jackson-Neujmin
90000638,       1970,        58P, Jackson-Neujmin
90000639,       1979,        58P, Jackson-Neujmin
90000640,       1987,        58P, Jackson-Neujmin
90000641,       1995,        58P, Jackson-Neujmin
90000642,       2011,        58P, Jackson-Neujmin
90000643,       2020,        58P, Jackson-Neujmin
90000644,       1963,        59P, Kearns-Kwee
90000645,       1972,        59P, Kearns-Kwee
90000646,       1981,        59P, Kearns-Kwee
90000647,       1990,        59P, Kearns-Kwee
90000648,       2010,        59P, Kearns-Kwee
90000649,       2013,        59P, Kearns-Kwee
90000650,       1965,        60P, Tsuchinshan 2
90000651,       1971,        60P, Tsuchinshan 2
90000652,       1978,        60P, Tsuchinshan 2
90000653,       1985,        60P, Tsuchinshan 2
90000654,       1992,        60P, Tsuchinshan 2
90000655,       1999,        60P, Tsuchinshan 2
90000656,       2006,        60P, Tsuchinshan 2
90000657,       2015,        60P, Tsuchinshan 2
90000658,       1949,        61P, Shajn-Schaldach
90000659,       1971,        61P, Shajn-Schaldach
90000660,       1979,        61P, Shajn-Schaldach
90000661,       1986,        61P, Shajn-Schaldach
90000662,       1993,        61P, Shajn-Schaldach
90000663,       2001,        61P, Shajn-Schaldach
90000664,       2007,        61P, Shajn-Schaldach
90000665,       2012,        61P, Shajn-Schaldach
90000666,       2022,        61P, Shajn-Schaldach
90000667,       1965,        62P, Tsuchinshan 1
90000668,       2005,        62P, Tsuchinshan 1
90000669,       2010,        62P, Tsuchinshan 1
90000670,       2016,        62P, Tsuchinshan 1
90000671,       1960,        63P, Wild 1
90000672,       1973,        63P, Wild 1
90000673,       2014,        63P, Wild 1
90000674,       1889,        64P, Swift-Gehrels
90000675,       1972,        64P, Swift-Gehrels
90000676,       1981,        64P, Swift-Gehrels
90000677,       1990,        64P, Swift-Gehrels
90000678,       1991,        64P, Swift-Gehrels
90000679,       2017,        64P, Swift-Gehrels
90000680,       1953,        65P, Gunn
90000681,       1969,        65P, Gunn
90000682,       1976,        65P, Gunn
90000683,       1982,        65P, Gunn
90000684,       1996,        65P, Gunn
90000685,       2008,        65P, Gunn
90000686,       2017,        65P, Gunn
90000687,       2018,        65P, Gunn
90000688,       1944,        66P, du Toit
90000689,       1974,        66P, du Toit
90000690,       2002,        66P, du Toit
90000691,       2014,        66P, du Toit
90000692,       1969,        67P, Churyumov-Gerasimenko
90000693,       1976,        67P, Churyumov-Gerasimenko
90000694,       1982,        67P, Churyumov-Gerasimenko
90000695,       1989,        67P, Churyumov-Gerasimenko
90000696,       1995,        67P, Churyumov-Gerasimenko
90000697,       2002,        67P, Churyumov-Gerasimenko
90000698,       2006,        67P, Churyumov-Gerasimenko
90000699,       2013,        67P, Churyumov-Gerasimenko
90000700,       2015,        67P, Churyumov-Gerasimenko
90000701,       1965,        68P, Klemola
90000702,       1976,        68P, Klemola
90000703,       1987,        68P, Klemola
90000704,       1998,        68P, Klemola
90000705,       2006,        68P, Klemola
90000706,       2016,        68P, Klemola
